246581_at AT1G31760
255792_at AT2G33620
245419_at AT4G17380
251404_at AT3G60310
262956_at AT1G54270
247611_at AT5G60710
267126_s_at AT2G23600;AT2G23590
261897_at AT1G80950
248893_at AT5G46310
253716_at AT4G29420
257065_at AT3G18220
263050_at AT2G05170
266276_at AT2G29330
249923_at AT5G19120
254473_s_at AT4G20570;AT4G20560;AT4G20540;AT4G20590;AT4G20550;AT4G20600;AT4G20650;AT4G20630;AT4G20530;AT4G20640;AT4G20710;AT4G20520;AT4G20620;AT4G20610;AT4G20700;AT4G20580
254998_at AT4G09760
260983_at AT1G53560
246817_at AT5G27240
252802_at AT3G42350
259377_at AT3G16380
265362_at AT2G13230
245758_at AT1G32240
251743_at AT3G55890
264784_s_at AT2G17830;AT5G42460
247950_at AT5G57230
262256_at AT1G53810
256122_at AT1G18180
245715_s_at AT5G08670;AT5G08690
261197_at AT1G12900
253016_at AT4G37950
249223_at AT5G42120
258434_at AT3G16770
254298_at AT4G22890
250949_at AT5G03510
260283_at AT1G80480
248164_at AT5G54490
246117_at AT5G20320
252102_at AT3G50970
255328_at AT4G04350
261313_at AT1G52970
264539_at AT1G55590
257520_at AT3G07710
266731_at AT2G03260
245058_at AT2G39790
262595_at AT1G15360
247250_at AT5G64630
263625_at AT2G04920
259832_at AT1G69580
248851_s_at AT5G46260;AT5G46490
249562_at AT5G38350
258773_at AT3G10730
260519_at AT1G51540
262711_at AT1G16500
265937_at AT2G19610
250249_at AT5G13760
246456_at AT5G16850
252441_at AT3G46780
255667_at AT4G00240
261652_at AT1G01860
245397_at AT4G14560
251382_at AT3G60730
248768_at AT5G47700
254753_at AT4G13190
257979_at AT3G20730
263964_at AT2G12880
259132_at AT3G02250
253694_at AT4G29735
257436_s_at AT4G00260;AT2G24650
245513_at AT4G15780
260858_at AT1G43770
258073_at AT3G25880
262011_at AT1G35614
250588_at AT5G07660
246795_at AT5G27020
252780_at AT3G42960
261991_at AT1G33700
251618_at AT3G58020
264178_at AT1G02170
247825_at AT5G58470
253810_at AT4G28220
266370_at AT2G41350
263506_s_at AT2G07683;ATMG00810
267549_at AT2G32640
251951_s_at AT3G53630;AT1G55710;AT4G18690
250704_at AT5G06265
257279_at AT3G14430
246911_at AT5G25810
263264_at AT2G38810
259471_at AT1G19040
250853_s_at AT5G04700;AT5G04680
258309_at AT3G30585
245852_at AT5G13510
260158_at AT1G79910
248039_at AT5G55950
262350_at AT2G48150
265576_at AT2G20190
246095_at AT5G19310
252080_at AT3G51670
266606_at AT2G46310
251957_at AT3G53690
261291_at AT1G36970
247125_at AT5G66070
253110_at AT4G35930
256336_at AT1G72030
259707_at AT1G77490
254392_at AT4G21600
250004_at AT5G18750
246211_at AT4G36730
249437_at AT5G39990
255422_at AT4G03270
258648_at AT3G07900
264633_at AT1G65660
245152_at AT2G47490
260497_at AT2G41840
248378_at AT5G51840
252316_at AT3G48700
261527_at AT1G14390
257734_at AT3G18370
266945_at AT2G18880
251257_at AT3G62290
247464_at AT5G62070
256675_at AT3G52170
254628_at AT4G18593
260613_at AT1G53380
267188_at AT2G44050
263839_at AT2G36900
256820_at AT3G22170
259007_at AT3G09370
250343_at AT5G11900
253569_at AT4G31250
246550_at AT5G14920
249776_at AT5G24170
255761_at AT1G16770
258987_at AT3G08950
262925_at AT1G65730
245491_at AT4G16320
267304_at AT2G30080
252655_at AT3G44760
261866_at AT1G50420
248862_at AT5G46730
257034_at AT3G19184
266245_at AT2G27700
251596_at AT3G57650
254967_at AT4G10410
260952_at AT1G06140
263139_at AT1G65110
259346_at AT3G03910
265331_at AT2G18420
245727_at AT1G73350
249076_at AT5G43970
251712_at AT3G56120
255061_at AT4G08930
258287_at AT3G15990
264272_at AT1G60280
262225_at AT1G53840
267643_at AT2G32890
252994_at AT4G38480
257373_at AT2G43140
258403_at AT3G15380
254267_at AT4G22930
250918_at AT5G03610
260252_at AT1G74240
248133_at AT5G54850
263478_at AT2G31880
259685_at AT1G63090
264508_at AT1G09570
266700_at AT2G19740
245027_at AT2G26550
251012_at AT5G02580
262564_at AT1G34330
256430_at AT3G11020
257609_at AT3G13845
252294_at AT3G49010
259801_at AT1G72230
247339_at AT5G63690
253324_at AT4G33940
264876_at AT2G17410
249531_at AT5G38770
258742_at AT3G05800
263823_s_at AT2G40340;AT2G40350
265906_at AT2G25565
260591_at AT1G53325
248472_at AT5G50860
250218_at AT5G14170
246425_at AT5G17420
252410_at AT3G47450
255636_at AT4G00730
261621_at AT1G01960
245366_at AT4G14965
266000_at AT2G24180
248737_at AT5G48120
254722_at AT4G13530
257948_at AT3G21740
267282_at AT2G19390
259101_at AT3G11640
247678_at AT5G59520
253663_at AT4G30160
249870_at AT5G23080
260827_at AT1G06740
258042_at AT3G21310
265206_at AT2G36670
250557_at AT5G07840
261960_at AT1G36550
264147_at AT1G02205
251690_at AT3G56510
261620_s_at AT1G33140;AT1G33120
267518_at AT2G30500
252869_at AT4G39930
254022_at AT4G25750
257248_at AT3G24150
263233_at AT1G05577
266459_at AT2G47970
259440_at AT1G01550
256189_at AT1G30140
245821_at AT1G26270
249170_at AT5G42910
258381_at AT3G16630
260127_at AT1G36320
248008_at AT5G56270
265545_at AT2G28250
250896_at AT5G03560
246064_at AT5G19350
251926_at AT3G53740
255275_at AT4G05310
261260_at AT1G26680
264486_at AT1G77180
262439_at AT1G47730
256305_at AT1G30400
252169_at AT3G50520
254361_at AT4G22212
257587_at AT1G56310
263572_at AT2G17060
266798_at AT2G22850
249406_at AT5G40210
258617_at AT3G03000
264602_at AT1G04700
245121_at AT2G47610
260466_at AT1G10900
248347_at AT5G52250
259899_at AT1G71210
265884_at AT2G42320
250196_at AT5G14580
257703_at AT3G12640
266914_at AT2G45880
251226_at AT3G62680
262778_at AT1G13050
247433_at AT5G62540
256644_at AT3G32300
264970_at AT1G67280
267157_at AT2G37630
263808_at AT2G04340
250312_at AT5G12260
253538_at AT4G31460
266098_at AT2G37870
249745_at AT5G24560
255730_at AT1G25460
258956_at AT3G01440
256909_at AT3G24060
245460_at AT4G16990
252624_at AT3G44735
259199_at AT3G08980
265184_at AT1G23710
248831_at AT5G47160
257003_at AT3G14110
266214_at AT2G06890
251565_at AT3G58190
247772_at AT5G58610
262078_at AT1G59520
254936_at AT4G10790
260921_at AT1G21540
267496_at AT2G30550
263108_at AT1G65240
259315_at AT3G01200
265300_at AT2G13950
250651_at AT5G06900
253877_at AT4G27435
249045_at AT5G44380
255030_at AT4G09480
258256_at AT3G26890
264241_at AT1G54840
246978_at AT5G24910
267612_at AT2G26690
252963_at AT4G38820
266373_x_at AT4G10580;AT3G31970;AT2G14650;AT1G42605
261135_at AT1G19610
257342_at AT1G42365
266553_at AT2G46170
247072_at AT5G66490
256283_at AT3G12540
254236_at AT4G23840
260221_at AT1G74670
248102_at AT5G55140
259654_at AT1G55220
250990_at AT5G02290
249384_at AT5G39890
258595_at AT3G04500
264580_at AT1G05340
262533_at AT1G17090
265759_at AT2G13100
246278_at AT4G37190
252263_at AT3G49520
261474_at AT1G14540
257681_at AT3G13370
266892_at AT2G26080
247308_at AT5G63930
256519_at AT1G66110
264845_at AT1G03680
249500_at AT5G39260
258711_at AT3G09790
267237_s_at AT2G44040;AT3G59890
254575_at AT4G19460
260560_at AT2G43590
248441_at AT5G51270
263786_at AT2G46370
259993_at AT1G67960
255605_at AT4G01090
250290_at AT5G13310
264816_at AT1G03560
245335_at AT4G16160
251320_at AT3G61530
256887_at AT3G15150
262872_at AT1G64690
265059_at AT1G52080
248706_at AT5G48530
257917_at AT3G23220
267251_at AT2G23070
263902_at AT2G36230
247647_at AT5G60010
253632_at AT4G30430
266192_at AT2G39080
258011_at AT3G19510
250526_at AT5G08570
246733_at AT5G27660
263086_at AT2G16110
249959_at AT5G18800
259293_at AT3G11580
255944_at AT5G28600
264116_at AT2G31320
245674_at AT1G56680
252838_at AT3G42090
262172_at AT1G74970
265398_at AT2G11000
267590_at AT2G39700
257217_at AT3G14940
263202_at AT1G05630
266428_at AT2G07180
251779_at AT3G55300
252381_s_at AT3G47760;AT3G47750
247986_at AT5G56880
253971_at AT4G26530
256158_at AT1G13590
258350_at AT3G17510
259529_at AT1G12400
250865_at AT5G03900
248080_at AT5G55380
246033_at AT5G08280
249259_at AT5G41660
255244_at AT4G05620
264455_at AT1G10330
262408_at AT1G34750
247864_s_at AT1G25155;AT5G57890;AT1G25083;AT1G24909;AT1G24807;AT1G25220
252138_at AT3G50990
254330_at AT4G22700
263541_at AT2G24860
266767_at AT2G46910
251079_at AT5G02000
247286_at AT5G64280
256497_at AT1G31580
260435_at AT1G68320
248316_at AT5G52670
259868_at AT1G76760
265853_at AT2G42360
258645_s_at AT3G07850;AT3G14040
250165_at AT5G15290
246372_at AT1G51900
249598_at AT5G37970
255583_at AT4G01510
264794_at AT1G08670
262747_at AT1G28540
247402_at AT5G62750
256613_at AT3G29290
252477_at AT3G46680
261688_at AT1G47380
248684_at AT5G48485
257895_at AT3G16950
263880_at AT2G21960
249714_at AT5G35710
258925_at AT3G10420
254789_at AT4G12880
260774_at AT1G78290
256981_at AT3G13380
246608_at AT5G35380
259168_at AT3G03570
265153_at AT1G30950
261804_at AT1G30530
248800_at AT5G47320
245549_at AT4G15320
251534_at AT3G58510
264094_at AT1G79200
247741_at AT5G58960
262047_at AT1G80160
254905_at AT4G11170
267465_at AT2G19170
250620_at AT5G07190
253846_at AT4G28000
257195_at AT3G23680
263180_at AT1G05620
255344_s_at AT4G04570;AT4G04540
249014_at AT5G44710
258225_at AT3G15630
264210_at AT1G22640
254089_at AT4G24800
