Var X sample ID,Var Y sample ID,Pearson's correlation
GTEX-132AR-1526-SM-5KM1L,GTEX-11P81-1626-SM-5BC52,0.8656
GTEX-P4QT-2026-SM-3NMCJ,GTEX-QCQG-1326-SM-48U24,0.8656
GTEX-N7MT-0726-SM-3TW8S,GTEX-PX3G-2026-SM-48U1H,0.8657
GTEX-WWYW-2826-SM-4MVOQ,GTEX-POMQ-1226-SM-3P61F,0.8657
GTEX-1399S-2226-SM-5IFEW,GTEX-P4PP-2026-SM-3P61N,0.8658
GTEX-WWYW-2826-SM-4MVOQ,GTEX-11EM3-1926-SM-5987U,0.8659
GTEX-131XG-2026-SM-5GCN5,GTEX-113JC-2226-SM-5EGJG,0.8659
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-RU72-2626-SM-4TT75,0.866
GTEX-P4PP-2026-SM-3P61N,GTEX-ZVT2-0426-SM-5E44S,0.866
GTEX-ZYVF-0526-SM-5E43E,GTEX-QCQG-1326-SM-48U24,0.8662
GTEX-WWYW-2826-SM-4MVOQ,GTEX-WEY5-0726-SM-4LMID,0.8662
GTEX-13W3W-1426-SM-5LU56,GTEX-XUW1-0226-SM-4BOOS,0.8662
GTEX-13N11-1126-SM-5KM41,GTEX-ZAK1-2526-SM-5S2N7,0.8662
GTEX-YJ8O-1126-SM-5P9IS,GTEX-13W3W-1426-SM-5LU56,0.8662
GTEX-131YS-2326-SM-5IJFJ,GTEX-S341-1026-SM-4AD71,0.8662
GTEX-13N11-1126-SM-5KM41,GTEX-132AR-1526-SM-5KM1L,0.8663
GTEX-13N11-1126-SM-5KM41,GTEX-QCQG-1326-SM-48U24,0.8663
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-XUZC-0926-SM-4BOQF,0.8664
GTEX-13W3W-1426-SM-5LU56,GTEX-P78B-2526-SM-3P5ZY,0.8664
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-YJ8O-1126-SM-5P9IS,0.8664
GTEX-RWS6-1326-SM-47JXB,GTEX-RU1J-1026-SM-46MUR,0.8665
GTEX-RWS6-1326-SM-47JXB,GTEX-11EM3-1926-SM-5987U,0.8665
GTEX-T5JW-1526-SM-4DM5E,GTEX-N7MT-0726-SM-3TW8S,0.8665
GTEX-132AR-1526-SM-5KM1L,GTEX-T2IS-2226-SM-4DM65,0.8665
GTEX-13OVI-1026-SM-5L3EM,GTEX-TSE9-2626-SM-4DXV2,0.8665
GTEX-POMQ-1226-SM-3P61F,GTEX-TSE9-2626-SM-4DXV2,0.8665
GTEX-131YS-2326-SM-5IJFJ,GTEX-132AR-1526-SM-5KM1L,0.8666
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-11P81-1626-SM-5BC52,0.8667
GTEX-ZAK1-2526-SM-5S2N7,GTEX-T6MO-1526-SM-4DM57,0.8667
GTEX-1313W-2826-SM-5P9G1,GTEX-QCQG-1326-SM-48U24,0.8668
GTEX-PWN1-2026-SM-48TD9,GTEX-131YS-2326-SM-5IJFJ,0.8668
GTEX-ZV6S-1526-SM-5NQ7O,GTEX-TSE9-2626-SM-4DXV2,0.8668
GTEX-RWS6-1326-SM-47JXB,GTEX-12WSD-2826-SM-59HKT,0.8668
GTEX-ZYVF-0526-SM-5E43E,GTEX-P4PP-2026-SM-3P61N,0.8669
GTEX-ZAK1-2526-SM-5S2N7,GTEX-WEY5-0726-SM-4LMID,0.867
GTEX-13FTX-1026-SM-5J2O5,GTEX-132AR-1526-SM-5KM1L,0.867
GTEX-XUZC-0926-SM-4BOQF,GTEX-QCQG-1326-SM-48U24,0.8671
GTEX-13U4I-1926-SM-5LU39,GTEX-WI4N-2426-SM-4OOSC,0.8672
GTEX-RWS6-1326-SM-47JXB,GTEX-Y114-1826-SM-4TT87,0.8672
GTEX-12WSG-2126-SM-5EGJ7,GTEX-13W3W-1426-SM-5LU56,0.8673
GTEX-Y114-1826-SM-4TT87,GTEX-WI4N-2426-SM-4OOSC,0.8673
GTEX-13S7M-1726-SM-5RQK3,GTEX-U3ZN-0726-SM-4DXT5,0.8673
GTEX-W5WG-1326-SM-4LMI9,GTEX-WI4N-2426-SM-4OOSC,0.8675
GTEX-RWS6-1326-SM-47JXB,GTEX-1313W-2826-SM-5P9G1,0.8676
GTEX-P4PP-2026-SM-3P61N,GTEX-S4UY-1226-SM-4AD51,0.8676
GTEX-132AR-1526-SM-5KM1L,GTEX-1117F-2426-SM-5EGGH,0.8676
GTEX-P4PP-2026-SM-3P61N,GTEX-PX3G-2026-SM-48U1H,0.8677
GTEX-RTLS-2426-SM-46MUO,GTEX-T2IS-2226-SM-4DM65,0.8679
GTEX-131YS-2326-SM-5IJFJ,GTEX-R55G-1626-SM-48FF4,0.8679
GTEX-ZTPG-2026-SM-5O999,GTEX-132AR-1526-SM-5KM1L,0.868
GTEX-13OVI-1026-SM-5L3EM,GTEX-RU72-2626-SM-4TT75,0.868
GTEX-WWYW-2826-SM-4MVOQ,GTEX-PX3G-2026-SM-48U1H,0.868
